652,252,807,314	1995
814,252,1124,314	SEASON
1132,252,1421,314	REVIEW
480,381,676,430	PLAYER
480,437,591,486	Mays,
597,437,640,486	Ib
646,437,683,486	...
480,498,673,542	Simmons,
679,498,744,542	lb.
480,553,535,603	M.
541,553,665,603	Jones,
671,553,732,603	dt
479,613,598,658	Boyd,
603,616,695,660	db...
479,668,679,717	Hamilton,
683,667,726,711	Ib
479,732,571,776	Ellis,
576,731,658,775	de..
480,787,533,831	O.
539,787,689,831	Brown,
695,787,750,831	db
479,846,566,891	Lee,
571,848,720,895	db........
479,905,528,948	R.
533,904,657,948	Davis,
663,904,720,948	de
479,966,595,1016	Terry,
600,966,655,1014	dt
660,965,689,1015	..
479,1021,649,1071	Pringley,
655,1021,707,1071	de
479,1083,652,1127	Holliday,
657,1083,713,1126	dt
479,1138,619,1189	Billups,
624,1138,685,1187	db
691,1137,720,1187	..
479,1200,603,1244	Addis,
609,1200,652,1243	Ib
657,1199,726,1243	......
480,1256,517,1299	E.
523,1256,695,1299	Thomas,
700,1256,763,1299	db
479,1310,673,1361	Newman,
679,1311,744,1361	Ib..
479,1372,641,1417	Carrick,
646,1371,720,1415	Ib..
480,1434,590,1478	Love,
595,1434,650,1478	db
656,1434,695,1478	...
480,1489,619,1533	Legins,
625,1489,750,1533	db......
480,1551,523,1594	R.
528,1551,700,1594	Thomas,
706,1551,763,1594	db
479,1606,614,1650	Purvis,
619,1606,695,1649	dt..
480,1662,609,1711	Lyons,
615,1662,658,1711	lb
479,1723,641,1767	Pierson,
646,1724,695,1767	lb
480,1779,855,1834	Hobgood-Chittick,
862,1779,916,1834	de
479,1840,587,1884	Dow,
593,1840,677,1884	dt..
480,1896,609,1945	Fisher,
615,1896,670,1945	db
480,1957,609,2007	Camp,
615,1957,683,2007	db
480,2019,523,2062	R.
528,2019,716,2062	Williams,
722,2019,775,2062	db
479,2072,655,2124	Simpson,
660,2075,769,2126	de....
479,2136,603,2180	Dunn,
609,2136,652,2179	lb
657,2135,720,2179	.....
479,2190,649,2244	Parquet,
654,2188,708,2239	db
1095,381,1144,430	I
1224,381,1280,430	A
1273,380,1452,426	HITS
1501,381,1581,430	FC
1637,381,1710,430	FR
1089,437,1212,480	82......
1218,443,1280,480	56
1273,437,1545,486	......138......
1551,437,1587,486	2
1089,498,1212,541	59.....
1218,498,1280,535	54
1280,498,1483,541	.......113...
1089,554,1218,603	53.....
1218,554,1273,591	41
1353,554,1483,603	...94..
1550,554,1581,597	2
1089,609,1212,658	46......
1212,615,1273,658	43
