434,571,546,615	Player
435,615,619,658	Kivuusama
624,615,720,658	Mays
435,658,527,702	Brian
532,658,689,702	Simmons
435,708,541,745	Omar
546,708,658,745	Brown
434,750,526,801	Greg
532,751,684,803	Williams
434,801,522,845	Greg
527,801,602,845	Ellis
434,845,522,889	Keith
527,844,689,888	Newman
434,888,581,940	Brandon
587,887,702,938	Spoon
434,938,551,990	Vonnie
556,936,702,988	Holliday
435,988,550,1025	Russell
555,988,652,1025	Davis
435,1031,521,1081	Mike
528,1031,664,1081	Pringley
435,1124,592,1168	Ebenezer
597,1124,727,1168	Ekuban
435,1168,521,1218	Nate
528,1168,826,1218	Hobgood-Chittick
435,1218,510,1262	Dre'
516,1218,571,1262	Bly
435,1261,548,1305	Robert
554,1261,708,1305	Williams
434,1317,527,1361	Jomo
532,1317,646,1361	Legins
434,1361,587,1405	Merceda
592,1360,689,1404	Perry
434,1402,563,1454	Sedrick
568,1404,690,1456	Hodge
434,1453,554,1498	Reggie
559,1454,640,1498	Love
441,1503,576,1547	Quinton
582,1503,714,1547	Savage
434,1547,528,1587	Steve
531,1544,640,1584	Fisher
435,1640,521,1684	Terry
527,1640,646,1684	Billups
441,1683,571,1727	Antwon
576,1684,671,1729	Black
435,1733,581,1777	Stephon
586,1733,751,1777	McQueen
440,1777,528,1822	Brian
533,1776,671,1821	Schmitz
441,1826,555,1870	Shawn
560,1827,658,1871	Lyons
434,1869,531,1926	Ricky
538,1870,634,1928	Smith
434,1921,516,1966	Ross
521,1918,690,1964	McAllister
441,1969,539,2013	Toney
544,1970,640,2014	Coles
441,2013,544,2057	Bryan
549,2013,646,2057	Jones
441,2063,557,2100	Darien
561,2063,702,2100	Johnson
441,2156,566,2194	Damon
571,2156,714,2194	Dawson
440,2197,527,2249	Allen
532,2199,708,2252	Mogridge
441,2250,522,2294	Alge
528,2249,689,2293	Crumpler
441,2299,536,2337	Mark
541,2299,633,2337	Dunn
441,2342,549,2386	Oscar
555,2342,733,2386	Davenport
441,2386,636,2430	Domonique
642,2386,795,2430	Williams
441,2436,533,2473	Ricco
538,2436,677,2473	McCain
441,2479,549,2523	North
555,2479,702,2523	Carolina
441,2529,633,2573	Opponents
783,391,1697,515	Defensive
1713,391,2585,515	Statistics
919,565,1019,602	G-GS
919,608,1025,646	11-11
913,658,1025,696	11-11
919,702,1025,739	11-11
919,752,981,789	9-9
919,801,1025,832	11-11
919,845,1025,876	11-11
919,888,1006,926	11-0
919,938,1025,975	11-11
919,988,1006,1019	11-9
919,1031,1031,1068	10-10
919,1124,1006,1162	10-1
919,1174,1006,1205	11-1
919,1218,1025,1255	11-11
919,1261,1025,1298	11-11
919,1311,1006,1348	11-2
919,1361,1006,1398	11-0
919,1404,1006,1441	11-0
919,1454,1006,1485	11-0
919,1497,1006,1535	11-0
919,1547,1006,1584	11-0
919,1640,1012,1671	11-0
919,1684,1012,1721	11-0
919,1734,1006,1771	11-0
919,1777,1006,1814	11-0
919,1827,1012,1864	10-0
925,1870,988,1908	5-0
925,1920,988,1957	5-0
925,1970,1012,2001	11-0
925,2013,1012,2050	11-0
925,2057,988,2094	4-0
919,2150,988,2200	3-0
925,2200,1012,2237	11-0
925,2243,1012,2280	11-8
925,2293,988,2330	2-0
925,2343,988,2380	8-5
925,2386,988,2423	7-0
925,2436,988,2473	6-0
925,2479,1037,2517	11-11
925,2529,1037,2560	11-11
1087,559,1118,602	T
1087,609,1143,646	73
1087,658,1143,696	60
1087,702,1143,739	45
1087,752,1149,789	38
1093,795,1143,832	47
1093,845,1149,882	42
1093,888,1149,926	39
1093,938,1149,975	29
1093,981,1149,1019	26
1093,1031,1149,1068	14
1093,1124,1143,1162	21
1093,1168,1149,1205	20
1093,1218,1149,1249	17
1093,1261,1149,1298	18
1093,1311,1143,1342	11
1093,1404,1149,1441	10
1093,1541,1124,1578	7
1093,1684,1124,1727	6
1100,1914,1124,1957	1
1100,2057,1131,2094	2
1100,2150,1131,2193	2
1100,2193,1131,2243	2
1274,565,1311,609	A
1280,609,1329,646	50
1280,652,1329,696	59
1280,702,1329,739	52
1280,752,1329,783	45
1280,795,1329,832	40
1280,839,1329,876	37
1280,888,1336,926	26
1280,932,1336,975	35
1280,981,1329,1019	34
1280,1031,1329,1062	31
1280,1118,1336,1156	19
1280,1168,1336,1205	16
1280,1261,1311,1298	7
1280,1311,1336,1348	13
1286,1354,1336,1392	12
1286,1827,1317,1864	2
1286,1914,1317,1957	3
1286,2013,1317,2050	3
1093,2479,1174,2523	568
1448,565,1510,609	Hit
1448,602,1528,658	123
1454,652,1528,689	119
1454,702,1510,733	97
1454,752,1503,789	83
1454,795,1510,832	87
1448,839,1510,894	79
1448,888,1510,932	65
1454,938,1510,975	64
1454,981,1510,1025	60
1448,1025,1510,1075	45
1454,1124,1510,1162	40
1448,1168,1510,1211	36
1448,1211,1510,1261	26
1454,1261,1510,1305	25
1454,1311,1510,1354	24
1454,1354,1510,1398	18
1454,1541,1510,1584	10
1286,2479,1361,2517	531
1622,559,1665,596	CF
1615,609,1684,646	2.0
1622,652,1684,696	5.0
1615,702,1684,739	0.0
1615,745,1684,783	1.0
1615,795,1684,832	0.0
1622,839,1684,876	1.0
1622,888,1684,926	0.0
1615,932,1684,975	0.0
1615,981,1684,1025	0.0
1615,1025,1684,1068	1.0
1702,559,1746,602	FF
1709,696,1733,752	2
1702,745,1733,789	0
1709,839,1740,882	2
1615,1118,1684,1162	1.0
1622,1168,1690,1205	0.0
1615,1211,1684,1255	0.0
1622,1261,1684,1298	1.0
1615,1305,1690,1348	0.0
1615,1354,1684,1398	0.0
1615,1398,1690,1448	0.0
1622,1448,1684,1485	0.0
1709,1124,1733,1161	•
1709,1164,1733,1205	-
1622,1634,1659,1671	O.
1622,2050,1659,2088	O.
1628,2144,1659,2187	0.
1622,2193,1659,2231	O.
1628,2380,1659,2417	0.
1628,2430,1659,2473	0.
1783,559,1914,602	RF-Yds
1796,609,1858,640	0-0
1789,652,1858,689	0-0
1789,702,1858,745	0-0
1796,745,1858,783	0-0
1789,789,1883,832	1-17
1796,839,1858,876	0-0
1796,888,1858,926	0-0
1796,932,1858,969	0-0
1796,981,1858,1019	0-0
1796,1025,1864,1062	0-0
1963,559,2044,602	PBU
1796,1118,1858,1156	0-0
1789,1162,1858,1211	0-0
1789,1205,1858,1255	0-0
1789,1255,1858,1305	0-0
1789,1305,1858,1348	0-0
1789,1354,1858,1398	0-0
1789,1398,1864,1441	O-0
1789,1448,1864,1491	0-0
1796,1541,1858,1572	0-0
1827,1821,1864,1852	-0
1802,1870,1864,1901	0-0
1802,1914,1864,1945	0-0
1802,2007,1864,2044	0-0
1796,2050,1864,2094	0-0
1970,888,2001,926	0
1970,932,2001,975	5
1970,1025,2001,1062	3
1970,1261,2025,1292	13
2144,559,2218,596	Pres
2144,602,2200,640	16
2150,652,2193,689	17
2144,839,2200,876	15
2150,1025,2200,1062	29
2144,1118,2200,1156	12
2150,1162,2200,1199	14
2150,2473,2218,2517	187
2305,553,2442,602	TFL-Yds
2305,602,2454,640	16.5-57
2305,646,2454,689	13.0-27
2311,696,2411,733	1.5-3
2311,739,2411,783	1.0-2
2311,789,2454,826	18.0-79
2311,839,2429,876	5.5-27
2311,882,2429,919	7.5-41
2311,932,2454,969	13.0-61
2311,975,2429,1013	9.0-31
2311,1025,2436,1063	8.5-34
2311,2144,2380,2187	0-0
2318,2193,2380,2231	0-0
2311,2237,2380,2287	0-0
2311,2280,2380,2330	0-0
2318,2330,2380,2367	0-0
2318,2380,2355,2411	0-
2318,2467,2473,2517	112-439
2541,552,2678,597	QB-Yds.
2541,602,2666,646	3.0-24
2541,651,2660,690	3.0-14
2541,696,2603,733	0-0
2541,739,2603,783	0-0
2541,789,2666,826	9.0-65
2541,839,2666,876	2.5-14
2541,882,2666,919	3.5-32
2541,932,2659,969	5.0-46
2541,975,2659,1013	3.0-21
2541,1025,2666,1062	3.5-24
2734,559,2790,596	Int.
2889,559,2939,590	BP
2734,658,2759,776	ONN
2740,1218,2765,1336	.N-
2579,2193,2610,2218	-0
2548,2237,2585,2274	O-
2572,2237,2616,2280	-0
2572,2330,2616,2374	-0
2572,2380,2610,2405	-0
2548,2423,2616,2461	O-0
2548,2467,2684,2504	40-293
2547,2516,2684,2554	36-220
410,3797,557,3841	Carolina
562,3797,687,3841	ranked
692,3797,817,3841	second
823,3797,861,3841	in
866,3797,921,3841	the
926,3797,1040,3841	nation
1046,3797,1084,3841	in
1089,3797,1143,3841	to-
410,3847,453,3891	tal
459,3847,595,3891	defense
600,3847,654,3891	for
660,3847,714,3891	the
720,3847,845,3891	second
850,3847,980,3891	straight
986,3847,1118,3891	season.
372,3927,484,3983	146
