1038,228,1214,290	2000
1221,228,1458,290	SEASON
1466,228,1693,290	REVIEW
278,333,488,438	20
30,500,145,531	FIELD
149,500,284,531	GOALS
309,500,395,537	FGM
438,500,525,537	FGA
531,506,618,537	Pct.
30,543,132,581	Reed,
136,543,166,581	J.
302,550,352,580	16
432,550,488,580	20
30,587,159,624	Bender,
164,587,203,624	C.
550,550,624,587	800
537,593,642,630	1.000
30,673,197,710	PUNTING
24,716,197,760	Ferguson,
202,716,234,760	B
333,679,395,716	No.
475,679,550,716	Yds
333,723,383,753	40
475,723,574,760	1,475
593,686,673,723	Avg.
587,729,673,760	36.9
24,766,158,803	Lafferty,
162,766,197,803	J.
327,766,383,803	20
469,772,543,803	708
587,772,673,803	35.4
24,809,123,840	Team
587,815,649,846	0.0
24,852,130,890	North
134,852,290,890	Carolina
333,859,383,889	61
24,895,228,934	Opponents
327,896,383,933	76
469,859,574,896	2,183
587,859,667,896	35.8
469,902,568,939	3,115
587,902,667,939	41.0
24,982,190,1019	KICKOFF
194,982,284,1019	RET.
333,988,395,1019	No.
500,988,581,1025	Yds
24,1025,126,1063	Aiken,
130,1025,166,1062	S.
333,1032,383,1062	18
500,1032,574,1069	365
24,1068,138,1112	Knight,
143,1069,179,1112	K.
333,1081,383,1112	10
500,1081,574,1112	155
24,1118,116,1155	Allen,
121,1118,154,1155	B.
500,1124,550,1155	85
18,1161,129,1199	Bailey,
134,1161,173,1199	K.
500,1168,550,1198	68
24,1205,121,1242	Black,
125,1205,160,1242	A.
18,1248,137,1291	Finger,
143,1248,173,1291	D
494,1211,537,1248	-2
18,1291,129,1328	Jones,
134,1291,166,1328	J.
500,1297,550,1334	18
12,1333,164,1372	Waddell,
168,1335,210,1373	M.
12,1378,120,1421	North
126,1378,278,1421	Carolina
494,1341,550,1378	24
18,1420,216,1465	Opponents
321,1384,377,1427	40
327,1427,377,1464	35
494,1390,568,1421	721
494,1433,568,1464	724
567,335,702,444	O
713,338,1423,458	STATISTICS
661,506,741,543	0-29
661,550,723,587	3-3
661,593,723,630	1-1
729,686,784,716	LP
729,729,778,760	61
729,772,778,803	47
729,859,778,896	61
723,908,778,939	66
661,995,747,1032	Avg.
661,1038,741,1069	20.3
661,1081,735,1118	15.5
661,1124,735,1161	17.0
655,1168,735,1205	22.7
667,1217,729,1248	•2.0
655,1260,717,1291	8.0
655,1304,735,1334	18.0
655,1347,735,1384	24.0
655,1390,735,1427	18.0
649,1433,735,1470	20.7
778,512,889,544	30-39
893,512,1001,544	40-49
1019,519,1100,550	50+
1149,512,1199,550	LP
778,555,889,587	10-10
893,555,958,587	3-7
1026,556,1087,593	0-0
1149,562,1192,593	48
778,599,840,630	0-0
896,599,958,630	0-0
1026,599,1087,636	0-0
1143,605,1192,636	28
896,686,951,723	TB
1019,686,1081,723	FC
1137,692,1199,723	120
1019,778,1050,815	8
1019,865,1063,896	11
1019,908,1069,945	11
1137,871,1186,902	12
1137,914,1186,945	16
822,995,883,1025	TD
982,995,1038,1032	LP
982,1044,1032,1075	27
982,1087,1032,1118	31
982,1130,1032,1161	37
982,1174,1032,1211	25
1236,519,1298,550	ВK
1267,692,1322,729	BK
1378,518,1483,556	PUNT
1488,518,1675,556	RETURNS
1681,519,1755,556	No.
1378,561,1471,600	Allen,
1474,560,1514,598	B.
1687,562,1743,599	28
1378,605,1512,642	Russell,
1516,605,1551,643	B.
1378,648,1484,686	Aiken,
1488,648,1520,685	S
1378,691,1486,735	Bailey,
1491,691,1526,735	K.
1687,618,1712,735	ONT
1371,734,1478,775	North
1482,737,1638,779	Carolina
1681,741,1736,791	37
1378,782,1576,824	Opponents
1687,784,1736,821	24
1860,519,1934,562	Yds
1854,568,1928,605	421
1854,611,1909,655	29
1854,655,1909,692	20
1854,698,1909,735	15
1854,747,1928,778	485
1854,791,1928,821	264
2021,525,2095,568	Avg.
2015,568,2095,605	15.0
